                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8696,                 4.0686,                  4.199,                0.00191,                0.20909,                0.00173,                0.00052,                 3.7419,                 4.1197,                 4.1432,                0.00058,                0.00058,                0.00058
                      2,                 3.7043,                 3.8458,                 4.0385,                0.00204,                0.23333,                0.00194,                 0.0007,                 3.5956,                 4.0236,                 4.0286,              0.0011722,              0.0011722,              0.0011722
                      3,                 3.3993,                 3.7103,                 3.6438,                0.00204,                0.19091,                0.00205,                0.00059,                 3.9213,                 4.3012,                 4.3918,              0.0017565,              0.0017565,              0.0017565
                      4,                 3.1486,                 3.5064,                 3.3314,                0.00206,                0.17273,                0.00202,                0.00066,                 3.8714,                 4.4778,                 4.4149,              0.0019604,              0.0019604,              0.0019604
                      5,                 2.9855,                 3.3781,                 3.1136,                0.01868,                0.04545,                0.00486,                0.00146,                 3.4251,                 4.9585,                 3.9309,              0.0019472,              0.0019472,              0.0019472
                      6,                 2.8455,                 3.3089,                 2.9648,                0.11222,                0.11515,                0.03379,                 0.0086,                 2.8686,                 9.7109,                 3.2404,               0.001934,               0.001934,               0.001934
                      7,                 2.7663,                 3.2247,                 2.8256,                0.04128,                0.12424,                0.02036,                0.00671,                 2.6219,                  4.611,                 2.7254,              0.0019208,              0.0019208,              0.0019208
                      8,                 2.7195,                 3.1349,                 2.7447,                0.09741,                    0.1,                0.06284,                0.01796,                 2.6004,                 3.7418,                  2.757,              0.0019076,              0.0019076,              0.0019076
                      9,                 2.6995,                 3.0948,                 2.7075,                0.13991,                0.11212,                0.05457,                  0.017,                 2.5514,                  4.203,                 2.6342,              0.0018944,              0.0018944,              0.0018944
                     10,                 2.5649,                 2.9974,                 2.6097,                 0.2252,                0.20606,                0.11002,                0.03691,                 2.4475,                 3.1476,                 2.5084,              0.0018812,              0.0018812,              0.0018812
                     11,                 2.4612,                 3.0821,                 2.4686,                0.12521,                0.12424,                0.06818,                0.02191,                 2.5103,                 3.9685,                 2.4575,               0.001868,               0.001868,               0.001868
                     12,                 2.4226,                 2.8286,                 2.4773,                0.17173,                0.18788,                0.11281,                0.04123,                 2.3304,                 3.0693,                 2.3643,              0.0018548,              0.0018548,              0.0018548
                     13,                 2.4281,                 2.7943,                 2.4613,                 0.2167,                    0.2,                0.12822,                0.04958,                 2.3554,                 2.9431,                 2.3946,              0.0018416,              0.0018416,              0.0018416
                     14,                 2.4047,                 2.6549,                 2.4199,                0.21543,                 0.1697,                0.11743,                0.03841,                  2.351,                 2.9805,                 2.4091,              0.0018284,              0.0018284,              0.0018284
                     15,                 2.2991,                 2.5525,                 2.3317,                0.37274,                0.21515,                0.20867,                0.07511,                  2.217,                 2.6825,                 2.2218,              0.0018152,              0.0018152,              0.0018152
                     16,                 2.2846,                 2.5099,                 2.3262,                0.28794,                0.25455,                0.18622,                0.06849,                 2.2432,                 2.7134,                 2.3017,               0.001802,               0.001802,               0.001802
                     17,                 2.2896,                  2.552,                  2.326,                0.30277,                0.24848,                0.18563,                0.07675,                 2.1395,                 2.8412,                 2.1883,              0.0017888,              0.0017888,              0.0017888
                     18,                 2.2269,                 2.4496,                 2.2533,                0.32602,                0.28788,                0.25336,                0.09907,                 2.0748,                 2.4564,                  2.145,              0.0017756,              0.0017756,              0.0017756
                     19,                 2.2288,                 2.4517,                 2.2235,                 0.3918,                0.33939,                0.27348,                0.11326,                  2.088,                 2.4745,                 2.1392,              0.0017624,              0.0017624,              0.0017624
                     20,                 2.1686,                 2.3362,                 2.1582,                0.32501,                0.23637,                0.22356,                0.09179,                 2.0765,                 2.6617,                 2.0991,              0.0017492,              0.0017492,              0.0017492
                     21,                  2.162,                 2.3196,                 2.1497,                0.38352,                    0.3,                0.26661,                0.10461,                 2.0266,                 2.7285,                 2.0409,               0.001736,               0.001736,               0.001736
                     22,                 2.0888,                 2.2764,                 2.1015,                0.43637,                0.30303,                0.25725,                 0.1134,                 1.9857,                 2.5726,                 2.0654,              0.0017228,              0.0017228,              0.0017228
                     23,                 2.0768,                 2.3009,                 2.0989,                0.37817,                0.26061,                0.26405,                0.11035,                  2.064,                 2.4418,                 2.0995,              0.0017096,              0.0017096,              0.0017096
                     24,                 2.0644,                 2.2167,                 2.0657,                0.41583,                0.34297,                0.32818,                0.13184,                 2.0812,                 2.2354,                 2.0729,              0.0016964,              0.0016964,              0.0016964
                     25,                 2.0189,                 2.1772,                 2.0004,                0.36282,                0.33636,                0.30339,                 0.1339,                 1.9523,                 2.2886,                 1.9611,              0.0016832,              0.0016832,              0.0016832
                     26,                   2.04,                 2.2027,                 2.0295,                0.37588,                0.27576,                0.26503,                0.11651,                 1.9291,                 2.5272,                 1.9705,                0.00167,                0.00167,                0.00167
                     27,                  1.985,                 2.1488,                 1.9976,                0.37314,                0.30303,                0.25967,                0.09613,                  2.016,                 2.3801,                 2.0146,              0.0016568,              0.0016568,              0.0016568
                     28,                 2.0364,                 2.2261,                 2.0828,                0.41435,                0.33636,                0.34378,                0.16346,                 1.9169,                 2.2088,                 1.9789,              0.0016436,              0.0016436,              0.0016436
                     29,                 1.9217,                 2.0939,                 1.9227,                 0.4499,                0.37879,                   0.34,                0.14548,                 1.9625,                 2.1779,                  2.001,              0.0016304,              0.0016304,              0.0016304
                     30,                 1.9726,                 2.0848,                 1.9581,                0.48292,                 0.3764,                0.36615,                0.17239,                 1.8852,                 2.0231,                 1.9115,              0.0016172,              0.0016172,              0.0016172
                     31,                 1.8985,                 2.0256,                 1.9011,                0.49998,                0.38485,                 0.4038,                0.18548,                  1.853,                 2.0616,                 1.8835,               0.001604,               0.001604,               0.001604
                     32,                 1.9188,                 2.0088,                 1.8937,                 0.4953,                 0.3697,                 0.3985,                0.17571,                 1.9296,                  2.113,                  1.946,              0.0015908,              0.0015908,              0.0015908
                     33,                 1.9253,                 2.0079,                 1.8833,                0.55391,                0.39697,                0.42806,                0.19589,                 1.8729,                 1.9604,                 1.8993,              0.0015776,              0.0015776,              0.0015776
