                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8125,                 3.9666,                 4.2007,                0.00189,                0.20909,                0.00171,                0.00052,                 3.7434,                 4.1104,                 4.1498,                0.00058,                0.00058,                0.00058
                      2,                 3.5794,                 3.7138,                 3.9802,                0.00194,                0.22121,                0.00202,                0.00061,                 3.6895,                 4.0093,                 4.1433,              0.0011683,              0.0011683,              0.0011683
                      3,                 3.3248,                 3.5778,                 3.6235,                0.00177,                0.18485,                0.00176,                0.00049,                 3.8743,                 4.1507,                 4.3546,              0.0017448,              0.0017448,              0.0017448
                      4,                 3.1338,                 3.3773,                 3.3056,                0.00194,                0.20909,                0.00194,                0.00056,                 3.7681,                 4.5168,                 4.4612,              0.0019406,              0.0019406,              0.0019406
                      5,                 3.0386,                 3.3127,                 3.1886,                0.02782,                 0.0303,                0.00551,                0.00164,                 3.1159,                 4.3151,                 3.4699,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.9039,                 3.1941,                 3.0641,                0.07355,                0.12727,                0.02344,                0.00694,                 2.8528,                 3.9683,                 3.0864,               0.001901,               0.001901,               0.001901
                      7,                 2.8432,                 3.0908,                  2.928,                 0.1028,                0.10606,                0.05033,                0.01824,                 2.6909,                 4.9111,                 2.8879,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.8016,                 3.0115,                 2.8532,                0.07282,                0.03761,                0.01919,                0.00605,                 3.0625,                 3.6474,                 3.0355,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.6735,                 2.9623,                 2.7863,                0.11686,                0.11515,                0.06085,                0.02221,                 2.6039,                 3.3256,                 2.7582,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.5976,                 2.8899,                 2.7288,                0.08467,                 0.1697,                0.06735,                0.02512,                 2.5237,                 3.5409,                 2.7634,              0.0018218,              0.0018218,              0.0018218
