                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.723,                  4.308,                 4.2261,                0.00191,                0.21212,                0.00149,                0.00047,                 3.7511,                 4.1146,                 4.1575,                0.00058,                0.00058,                0.00058
                      2,                 3.4813,                 4.0876,                  4.008,                 0.0019,                0.21515,                0.00221,                0.00057,                 3.7586,                 4.0303,                 4.1895,              0.0010632,              0.0010632,              0.0010632
                      3,                 3.1675,                 3.9357,                 3.6831,                0.00186,                0.20303,                0.00215,                0.00056,                 3.8942,                  4.123,                 4.3793,              0.0014276,              0.0014276,              0.0014276
                      4,                 2.9777,                 3.7172,                 3.4143,                0.00149,                0.16667,                0.00216,                0.00058,                 3.8218,                 4.1474,                 4.3624,               0.001406,               0.001406,               0.001406
                      5,                 2.8919,                 3.6108,                 3.2308,                0.07603,                0.01818,                0.00891,                0.00244,                 3.3555,                 3.7166,                  3.617,               0.001208,               0.001208,               0.001208
                      6,                 2.8439,                 3.5056,                 3.0839,                0.06522,                0.07273,                0.01917,                0.00574,                 2.8364,                 4.1713,                 3.0644,                0.00101,                0.00101,                0.00101
                      7,                 2.7645,                 3.3379,                 2.9854,                0.10138,                0.08788,                0.04064,                0.01461,                 2.7796,                 3.4241,                 2.9707,               0.000812,               0.000812,               0.000812
                      8,                  2.691,                 3.2845,                 2.8975,                0.16518,                0.10606,                0.06484,                0.02402,                 2.6845,                   3.52,                 2.8228,               0.000614,               0.000614,               0.000614
                      9,                 2.6278,                 3.1955,                 2.8755,                 0.1554,                0.12121,                 0.0688,                0.02598,                    2.6,                 3.2421,                 2.7479,               0.000416,               0.000416,               0.000416
                     10,                   2.58,                 3.1173,                 2.8088,                0.16519,                 0.1303,                0.09094,                0.03366,                 2.5525,                  3.154,                 2.7024,               0.000218,               0.000218,               0.000218
